protected_areas_year_ended_30_june_all_other_protected_areas_ha, protected_areas_year_ended_30_june_protected_areas_num, land_area_land_area_ha, slr_instlltns_accmltve_ttl_2001_incrse_wtr_htr_frm_prvs_yr_pc, protected_areas_year_ended_30_june_national_parks_pc, sa2_maincode_2016, protected_areas_year_ended_30_june_indigenous_protected_area_ha, protected_areas_year_ended_30_june_protected_areas_total_pc, protected_areas_year_ended_30_june_nature_reserves_pc, protected_areas_year_ended_30_june_nature_reserves_num, slr_instlltns_accmltve_ttl_2001_smll_scle_pnl_systm_nm, protected_areas_year_ended_30_june_indigenous_protected_area_pc, protected_areas_year_ended_30_june_national_parks_num, sa2_name_2016, protected_areas_year_ended_30_june_protected_areas_total_num, yr, protected_areas_year_ended_30_june_all_other_protected_areas_pc, solar_installations_accumulative_total_2001_water_heater_num, protected_areas_year_ended_30_june_protected_areas_total_ha, protected_areas_year_ended_30_june_national_parks_ha, slr_instlltns_accmltve_ttl_2001_incrse_pnl_frm_prvs_yr_pc, protected_areas_year_ended_30_june_indigenous_area_num, protected_areas_year_ended_30_june_nature_reserves_ha
null,null,150.3,null,null,"206041125",null,null,null,null,45,null,null,"South Yarra - West",null,2018,null,17,null,null,12.5,null,null
null,null,458.8,17.9,null,"208021427",null,null,null,null,500,null,null,"Bentleigh East (South)",null,2018,null,540,null,null,12.6,null,null
null,null,530.7,12.4,null,"208031183",null,null,null,null,497,null,null,"Aspendale Gardens - Waterways",null,2018,null,190,null,null,14.5,null,null
null,null,319.6,11.0,null,"208031187",null,null,null,null,281,null,null,"Chelsea Heights",null,2018,null,121,null,null,10.2,null,null
null,null,359.7,9.7,null,"207031162",null,null,null,null,504,null,null,"Blackburn South",null,2018,null,261,null,null,10.0,null,null
null,null,426.3,11.1,null,"207031166",null,null,null,null,486,null,null,"Burwood East",null,2018,null,190,null,null,8.2,null,null
null,null,558.7,2.4,null,"212021454",null,null,null,null,939,null,null,"Endeavour Hills - South",null,2018,null,129,null,null,11.8,null,null
null,null,332.8,9.2,null,"207031167",null,null,null,null,369,null,null,"Surrey Hills (East) - Mont Albert",null,2018,null,178,null,null,13.2,null,null
null,null,216.8,1.0,null,"206011106",null,null,null,null,316,null,null,"Brunswick East",null,2018,null,294,null,null,16.2,null,null
null,null,158.1,1.6,null,"206031115",null,null,null,null,279,null,null,"Flemington",null,2018,null,131,null,null,9.4,null,null
null,null,942.2,16.0,null,"213051466",null,null,null,null,651,null,null,"Point Cook - South",null,2018,null,1906,null,null,24.2,null,null
null,null,181.9,2.0,null,"206041117",null,null,null,null,90,null,null,"Carlton",null,2018,null,50,null,null,20.0,null,null
null,null,244.4,null,null,"206041118",null,null,null,null,84,null,null,"Docklands",null,2018,null,9,null,null,1.2,null,null
null,null,290.0,null,null,"206041119",null,null,null,null,48,null,null,"East Melbourne",null,2018,null,23,null,null,26.3,null,null
null,null,170.9,null,null,"206041120",null,null,null,null,null,null,null,"Flemington Racecourse",null,2018,null,null,null,null,null,null,null
null,null,560.8,12.1,null,"208011170",null,null,null,null,679,null,null,"Brighton East",null,2018,null,333,null,null,9.2,null,null
null,null,255.3,1.9,null,"206051129",null,null,null,null,304,null,null,"Elwood",null,2018,null,106,null,null,13.9,null,null
76,8,21186.8,10.5,null,"202021031",null,0.4,null,null,760,null,null,"Woodend",8,2018,0.4,453,76,null,13.3,null,null
594,11,58860.1,14.9,4.4,"203021043",null,5.4,null,null,1592,null,1,"Lara",12,2018,1.0,1544,3173,2579,12.1,null,null
2947,8,15697.9,19.6,null,"203031050",null,18.8,null,null,2260,null,null,"Ocean Grove - Barwon Heads",8,2018,18.8,2884,2947,null,19.1,null,null
330,4,7185.6,11.0,null,"203031051",null,4.6,null,null,983,null,null,"Portarlington",4,2018,4.6,908,330,null,12.2,null,null
218,5,6167.3,18.6,null,"203031052",null,3.5,null,null,644,null,null,"Point Lonsdale - Queenscliff",5,2018,3.5,287,218,null,9.0,null,null
217,5,12632.0,14.5,2.7,"203031053",null,4.4,null,null,1667,null,1,"Torquay",6,2018,1.7,1957,555,338,15.8,null,null
6759,39,211895.5,2.4,11.1,"204011054",null,14.3,null,null,1002,null,5,"Alexandra",44,2018,3.2,431,30334,23575,11.8,null,null
