sa2_name16, num_mvs_ns, num_mvs_per_dweling_2_mvs, num_mvs_per_dweling_1_mvs, num_mvs_per_dweling_3_mvs, total_dwelings, sa2_main16, num_mvs_per_dweling_tot, num_mvs_per_dweling_0_mvs, num_mvs_per_dweling_4mo_mvs
"Cranbourne North",182,2836,1497,924,5956,"212031302",5773,111,416
"Cranbourne South",76,1178,475,512,2773,"212031303",2693,49,480
"Cranbourne West",146,2239,1279,657,4635,"212031304",4486,80,234
"Prahran - Windsor",290,1860,4537,307,8983,"206061136",8693,1916,81
"Collingwood",189,531,1787,85,3729,"206071141",3545,1114,22
"Hadfield",88,724,757,210,2094,"210031440",2003,203,110
"Sunbury",99,1764,963,720,4142,"210041240",4045,93,502
"Sunbury - South",259,3772,2976,1317,9501,"210041241",9244,405,772
"Fitzroy",196,693,1957,109,4129,"206071142",3931,1149,29
"Hughesdale",90,969,1089,242,2767,"208021180",2681,305,69
"Bacchus Marsh Region",86,748,527,371,2079,"201021009",1991,46,292
"Daylesford",181,1344,1186,477,3612,"201021011",3434,140,290
"Point Cook - South",83,2230,1347,434,4291,"213051466",4212,64,142
"Blackburn South",116,1553,1270,402,3803,"207031162",3689,279,182
"Surrey Hills (East) - Mont Albert",62,1442,1299,374,3561,"207031167",3499,189,201
"Brighton East",116,2469,1724,655,5455,"208011170",5343,231,265
"Kilmore - Broadford",200,1761,1456,734,4845,"204011056",4644,150,538
"Seymour Region",44,561,273,265,1360,"204011060",1320,9,218
"Yea",69,521,428,226,1419,"204011062",1351,32,147
"French Island",6,15,22,0,55,"205031088",46,13,3
"Phillip Island",179,1543,1648,364,4099,"205031091",3912,193,166
"Wonthaggi - Inverloch",461,3248,3412,969,9013,"205031093",8548,520,409
"Cheltenham - Highett (West)",94,1628,1599,374,4088,"208011171",3995,272,124
"Hampton",172,2612,2252,614,6376,"208011172",6203,467,263
"Brunswick",356,2215,5114,434,10560,"206011105",10203,2272,157
"Brunswick East",134,1006,2504,186,4776,"206011106",4638,868,70
"Pascoe Vale South",79,1326,1162,352,3371,"206011109",3294,259,192
"Docklands",135,589,2088,72,4673,"206041118",4540,1755,32
"East Melbourne",54,485,1107,94,2173,"206041119",2118,404,25
"Hampton Park - Lynbrook",290,2981,2305,1084,7481,"212031305",7185,288,527
"Altona Meadows",205,2557,2528,777,6874,"213021342",6669,373,436
"Flemington Racecourse",0,4,16,0,22,"206041120",22,4,0
"South Yarra - West",88,575,1401,109,2730,"206041125",2642,519,43
"Bentleigh East (South)",137,2070,1544,520,4716,"208021427",4579,226,212
"Bentleigh - McKinnon",227,3021,3018,753,7979,"208021174",7746,639,315
"Aspendale Gardens - Waterways",48,1293,609,516,2777,"208031183",2734,48,265
"Murrumbeena",86,1184,1529,305,3602,"208021181",3513,357,144
"Braeside",0,3,4,0,13,"208031184",13,3,0
"Southbank",209,853,4236,90,8251,"206041126",8041,2842,23
"Chelsea Heights",46,842,588,255,1920,"208031187",1871,76,109
"Castlemaine Region",126,1325,949,545,3373,"202021028",3244,59,374
"Kyneton",148,1325,1091,505,3532,"202021030",3385,156,303
"Woodend",60,1032,627,373,2377,"202021031",2317,76,205
"Belmont",200,2008,2361,492,5733,"203021037",5539,467,208
"Corio - Norlane",595,2788,3847,951,9767,"203021038",9175,1181,410
"Geelong",186,1701,2229,418,5226,"203021039",5040,503,183
"Geelong West - Hamlyn Heights",293,2795,3131,707,7966,"203021040",7677,726,317
"Carnegie",216,2053,3497,345,7255,"208021176",7038,972,170
"Grovedale",260,3469,2671,990,8315,"203021041",8052,375,552
"Highton",176,3425,2146,1021,7515,"203021042",7339,232,519
"Lara",177,2468,1502,939,5814,"203021043",5633,159,575
"Leopold",114,1979,1458,621,4588,"203021044",4473,109,311
"Newcomb - Moolap",264,1850,2344,601,5900,"203021045",5637,523,322
"Newtown (Vic.)",107,1569,1374,380,3805,"203021046",3700,213,165
"North Geelong - Bell Park",232,2006,2085,559,5652,"203021047",5416,467,298
"Coburg",269,2759,4261,768,9610,"206011108",9342,1241,315
"Clifton Springs",179,2062,1612,656,5023,"203031048",4847,161,343
"Ocean Grove - Barwon Heads",215,3864,2375,1058,8174,"203031050",7962,167,507
"Portarlington",136,1179,1220,319,3116,"203031051",2978,122,132
"Point Lonsdale - Queenscliff",56,640,651,155,1638,"203031052",1580,60,74
"Torquay",147,3039,1643,836,6204,"203031053",6058,123,411
"Alexandra",187,895,770,355,2549,"204011054",2359,112,228
"Brunswick West",183,1415,2757,296,5745,"206011107",5560,978,114
"Alphington - Fairfield",104,1125,1500,226,3450,"206021110",3345,399,106
"Ormond - Glen Huntly",134,1522,2468,316,5237,"208021182",5097,660,131
"Northcote",249,2685,4496,539,9446,"206021111",9197,1298,178
"West Melbourne",0,0,0,0,0,"206041127",0,0,0
"Thornbury",243,2101,3355,413,7385,"206021112",7139,1086,190
"Port Melbourne",212,2079,3487,329,7072,"206051130",6857,837,123
"Ascot Vale",211,1821,2373,406,5702,"206031113",5491,739,147
"Essendon - Aberfeldie",294,3471,4130,1021,10316,"206031114",10026,886,511
"Flemington",206,707,2009,106,4083,"206031115",3879,1017,44
"Moonee Ponds",192,1696,2249,451,5482,"206031116",5296,709,191
"Carlton",381,572,2170,79,8273,"206041117",7892,5026,38
"Kensington (Vic.)",133,1112,2253,179,4491,"206041121",4363,774,42
"Melbourne",717,394,3370,38,16284,"206041122",15565,11725,47
"Armadale",103,1111,1798,210,3815,"206061135",3713,497,101
"North Melbourne",338,1107,3481,146,8118,"206041123",7777,3005,42
"Parkville",70,411,990,89,1997,"206041124",1928,414,25
"Albert Park",205,1791,3198,293,6481,"206051128",6276,897,94
"Elwood",204,1986,3608,260,6910,"206051129",6710,748,107
"Port Melbourne Industrial",0,0,4,0,6,"206051131",4,0,0
"South Melbourne",174,1074,2573,140,5178,"206051132",5003,1172,50
"St Kilda",440,2026,6372,254,12110,"206051133",11674,2904,109
"St Kilda East",205,1684,3764,242,7354,"206051134",7148,1372,86
"South Yarra - East",290,1609,4964,221,10028,"206061137",9736,2848,91
"Toorak",227,1804,2151,506,5492,"206061138",5263,515,294
"Abbotsford",111,716,1831,127,3556,"206071139",3444,747,31
"Carlton North - Princes Hill",106,834,1680,158,3460,"206071140",3354,633,49
"Fitzroy North",191,1132,2481,231,5085,"206071143",4893,984,61
"Richmond (Vic.)",417,2983,6502,530,13179,"206071144",12766,2607,147
"Yarra - North",92,1049,1658,225,3415,"206071145",3324,322,75
"Ashburton (Vic.)",63,1117,828,285,2591,"207011146",2523,188,112
"Balwyn",156,2166,2077,633,5700,"207011147",5543,378,293
"Camberwell",122,2886,2652,895,7353,"207011149",7233,413,384
"Balwyn North",149,2933,1892,921,6594,"207011148",6441,272,421
"Kew",197,3327,3290,966,8715,"207011153",8517,532,406
"Glen Iris - East",90,2582,1760,682,5619,"207011150",5530,211,300
"Hawthorn",269,2506,4294,551,9470,"207011151",9194,1623,226
"Hawthorn East",223,1978,2580,409,6059,"207011152",5840,693,181
"Kew East",42,981,760,236,2240,"207011154",2196,116,100
"Surrey Hills (West) - Canterbury",102,2317,1853,642,5511,"207011155",5413,267,333
"Bulleen",110,1687,1223,482,3992,"207021156",3882,209,289
"Doncaster",208,2846,3006,874,7817,"207021157",7612,496,388
"Templestowe",144,2432,1279,877,5447,"207021159",5302,142,580
"Templestowe Lower",146,2178,1370,616,4736,"207021160",4588,156,259
