slr_instlltns_accmltve_ttl_2001_smll_scle_pnl_systm_nm, land_area_land_area_ha, slr_instlltns_accmltve_ttl_2001_incrse_wtr_htr_frm_prvs_yr_pc, yr, solar_installations_accumulative_total_2001_water_heater_num, sa3_name_2016, slr_instlltns_accmltve_ttl_2001_incrse_pnl_frm_prvs_yr_pc, sa3_code_2016
3476,366667.3,5.2,2018,1761,"Creswick - Daylesford - Ballan",15.1,"20102"
6573,392093.8,7.1,2018,3597,"Heathcote - Castlemaine - Kyneton",13.4,"20202"
12848,91889.2,8.1,2018,9884,"Geelong",11.3,"20302"
7711,92996.9,16.2,2018,7810,"Surf Coast - Bellarine Peninsula",15.9,"20303"
7167,1395931.8,8.1,2018,3160,"Upper Goulburn Valley",13.6,"20401"
8872,438161.9,9.8,2018,4420,"Gippsland - South West",15.2,"20503"
3327,2041.3,4.9,2018,2362,"Brunswick - Coburg",14.4,"20601"
2427,1402.8,6.1,2018,1389,"Darebin - South",14.5,"20602"
2248,1821.5,4.6,2018,1135,"Essendon",10.1,"20603"
892,3146.2,0.3,2018,685,"Melbourne City",12.1,"20604"
1538,2569.6,6.6,2018,699,"Port Phillip",17.1,"20605"
3686,4867.2,17.9,2018,1550,"Manningham - West",12.8,"20702"
4049,3805.5,10.0,2018,2396,"Whitehorse - West",10.7,"20703"
3643,3721.1,8.0,2018,1819,"Bayside",14.1,"20801"
5875,6986.3,9.4,2018,2397,"Kingston",13.8,"20803"
1261,1372.2,14.6,2018,651,"Stonnington - East",14.5,"20804"
5513,6261.3,5.1,2018,2331,"Banyule",11.4,"20901"
4034,3944.4,5.9,2018,2358,"Darebin - North",15.2,"20902"
4268,75176.8,4.1,2018,1443,"Nillumbik - Kinglake",13.3,"20903"
13385,99743.9,8.4,2018,21310,"Whittlesea - Wallan",15.2,"20904"
2708,4242.5,6.4,2018,1260,"Keilor",9.9,"21001"
2892,99210.7,10.6,2018,2142,"Macedon Ranges",16.1,"21002"
2825,3037.8,12.6,2018,2527,"Moreland - North",13.0,"21003"
2968,26068.5,22.8,2018,2564,"Sunbury",13.7,"21004"
9815,29409.5,17.0,2018,10588,"Tullamarine - Broadmeadows",16.9,"21005"
763,1192.9,1.6,2018,315,"Stonnington - West",18.7,"20606"
2035,2061.6,3.2,2018,1097,"Yarra",11.8,"20607"
5034,6001.6,9.8,2018,2722,"Boroondara",12.5,"20701"
10135,11830.2,11.7,2018,2764,"Knox",12.0,"21101"
1621,6656.2,7.8,2018,399,"Manningham - East",13.2,"21102"
5732,6118.7,4.9,2018,1957,"Maroondah",13.1,"21103"
4439,4070.0,13.5,2018,3441,"Glen Eira",12.9,"20802"
3073,2657.0,10.5,2018,1152,"Whitehorse - East",13.2,"21104"
10469,160593.7,5.1,2018,3190,"Yarra Ranges",13.2,"21105"
7788,128232.7,12.4,2018,11278,"Cardinia",18.6,"21201"
9307,11650.3,7.3,2018,3839,"Casey - North",12.9,"21202"
14805,29292.6,17.2,2018,17896,"Casey - South",21.6,"21203"
9348,15105.1,16.1,2018,4557,"Dandenong",15.7,"21204"
8015,7947.3,13.1,2018,4556,"Monash",12.3,"21205"
10585,10685.0,4.6,2018,5611,"Brimbank",9.8,"21301"
4385,6221.6,9.9,2018,1834,"Hobsons Bay",10.6,"21302"
2862,3122.5,7.9,2018,2167,"Maribyrnong",11.1,"21303"
11376,67194.4,13.1,2018,14614,"Melton - Bacchus Marsh",13.7,"21304"
17543,54412.0,13.8,2018,30709,"Wyndham",17.1,"21305"
9230,12959.8,7.3,2018,3802,"Frankston",12.6,"21401"
13553,72416.8,6.2,2018,6703,"Mornington Peninsula",13.3,"21402"
