frt_nut_grapes_wine_prod, hay_crl_for_hay, frt_nut_pome_frt_apples, brdacrcrp_crlcrp_brly, brdacrcrp_crlcrp_maize, frt_nut_grapes_total, frt_nut_stn_frt_cherries, frt_nut_pome_frt_pear, frt_nut_citrus_oth_nec, frt_nut_pome_frt_oth_nec, nursry_flwrs_turf_cut_flwrs_outdoor, frt_nut_stn_frt_plums, veggies_total, veggies_beans, brdacrcrp_non_crlcrp_chickpeas, brdacrcrp_crlcrp_rice, frt_nut_citrus_limes, veggies_tomatoes_process, frt_nut_oth_frt_strawberries, frt_nut_orchard_fruit_avocados, frt_nut_stn_frt_peaches, livstk_prod_eggs, livstk_slght_oth_oth_nec, brdacrcrp_non_crlcrp_lentils, brdacrcrp_total, veggies_potatoe, frt_nut_oth_frt_oth_berr_nec, total_agriculture, veggies_pumpkins, brdacrcrp_non_crlcrp_mung_bean, nursry_flwrs_turf_turf, brdacrcrp_othcrp_nec, hay_total, veggies_lettuces, frt_nut_stn_frt_nectarines, brdacrcrp_non_crlcrp_lupins, nursry_flwrs_turf_total, veggies_peas_fresh, brdacrcrp_non_crlcrp_faba_beans, livstk_slght_oth_poultry, livstk_slght_oth_sheep_lamb, frt_nut_stn_frt_oth_nec, veggies_cauliflowers, veggies_oth_nec, frt_nut_citrus_grapefruits, livstk_prod_wool, veggies_peas_process, veggies_broccoli, livstk_prod_milk, brdacrcrp_non_crlcrp_cotton, brdacrcrp_crlcrp_tritcle, frt_nut_stn_frt_apricots, livstk_slght_oth_catl_calves, brdacrcrp_crlcrp_oth_crl, brdacrcrp_non_crlcrp_oilseed_oth, livstk_slght_oth_total, frt_nut_orchard_fruit_mangoes, veggies_onions, frt_nut_citrus_oranges, frt_nut_citrus_lemons, brdacrcrp_crlcrp_wheat, nursry_flwrs_turf_cut_flwrs, brdacrcrp_non_crlcrp_peanuts, livstk_prod_total, frt_nut_citrus_mandarins, nursry_flwrs_turf_nursry_outdoor, brdacrcrp_crlcrp_srgum, frt_nut_nuts_almonds, frt_nut_oth_frt_kiwifruit, frt_nut_oth_frt_oth_nec, hay_oth_crp_for_hay, frt_nut_orchard_fruit_oth_nec, veggies_tomatoes_fresh, frt_nut_oth_frt_pineapples, livstk_slght_oth_goats, nursry_flwrs_turf_nursry_undcov, veggies_cabbages, frt_nut_oth_frt_bananas, hay_lucerne_cut_for_hay, livstk_slght_oth_pigs, hay_oth_psture_for_hay, veggies_mushrooms, frt_nut_excl_grp_total, frt_nut_oth_frt_blueberries, brdacrcrp_non_crlcrp_sugar_cane, sa2_name11, veggies_melons, total_crp_value, nursry_flwrs_turf_cut_flwrs_undcov, veggies_brssl_sprts, veggies_carrots, brdacrcrp_non_crlcrp_oilseed_canola, veggies_sweet_corn, frt_nut_grapes_oth_use, frt_nut_nuts_macadamias, nursry_flwrs_turf_nurseries, veggies_capsicum, sa2_code11, brdacrcrp_non_crlcrp_oth_pulses, frt_nut_nuts_oth_nec, brdacrcrp_crlcrp_oats
182140.27,68124.94,null,null,null,182140.27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,240.46,0.0,null,84417.31,null,null,3.5068592E7,null,null,null,5719.19,2021780.6,null,null,null,null,null,null,364.79,5517313.5,null,null,null,null,3042696.5,null,null,582323.7,null,null,null,2.3552762E7,null,null,2.9127948E7,null,null,null,null,null,null,null,3625260.8,null,null,null,null,null,null,92491.62,null,null,null,57507.37,null,null,null,30894.39,null,1830269.6,null,null,null,null,"Yea",null,2315385.0,null,null,null,78698.12,null,null,null,null,null,"204011062",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,9597282.0,null,null,7885806.0,null,12993.08,null,null,null,7885806.0,null,null,1641223.6,null,null,null,null,null,null,null,null,null,null,null,null,57259.12,null,null,1698482.8,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12993.08,null,null,null,null,"Cranbourne West",null,7898799.0,null,null,null,null,null,null,null,null,null,"212031304",null,null,null
null,null,3291153.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.7026652E7,0.0,null,null,null,null,1.45203728E8,null,null,null,null,2287534.0,null,null,null,232822.88,null,null,3.73375E7,37266.0,null,null,null,null,97592.1,null,null,5.3965772E7,null,null,null,2.764988E7,null,null,6.8302208E7,null,null,null,null,null,101774.09,null,7.1090016E7,null,104850.98,null,null,null,null,4722.21,null,null,null,null,26197.81,null,null,73182.64,null,2209629.0,null,3291153.2,null,null,"Drouin",null,5811510.0,101774.09,null,null,null,null,null,null,131048.79,null,"205011076",null,null,null
null,null,null,null,null,null,null,null,null,null,310971.2,null,411782.5,5896.83,null,null,414.39,null,977.89,null,null,4988187.5,0.0,null,null,298629.66,null,9.9077408E7,3671.31,null,null,null,7715954.0,169.28,null,null,4233042.5,null,null,2301028.5,47577.88,null,null,97936.17,380.54,32756.22,null,1406.12,5.007814E7,null,null,null,2.916424E7,null,null,3.1615254E7,null,null,null,522.43,null,310971.2,null,5.5099084E7,null,3765939.8,null,null,null,null,31366.62,null,1639.19,null,20139.24,156131.52,1050.43,null,137868.28,82267.61,7546719.0,null,2295.24,null,null,"Mount Baw Baw Region",null,1.2363074E7,null,1383.51,null,null,null,null,null,3922071.2,null,"205011077",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,3433.41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,61105.88,null,null,null,null,null,null,null,null,57672.47,null,null,null,null,null,null,3433.41,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,14978.71,null,null,null,null,null,null,null,null,null,42693.76,null,null,null,null,null,null,null,null,null,"Hampton Park - Lynbrook",null,61105.88,null,null,null,null,null,null,null,57672.47,null,"212031305",null,null,null
31563.78,null,3982246.2,null,null,31563.78,null,2129.96,null,130.06,3067026.8,null,2.0506372E7,null,null,null,null,null,null,null,2135.28,72436.27,0.0,null,null,425938.5,null,9.950584E7,8339.73,null,null,null,2647706.0,null,null,null,5329472.5,null,null,2348654.5,550219.25,null,6788.86,114523.49,93.07,266823.4,null,7030.59,4.1255036E7,null,null,null,2.2279528E7,null,null,2.5394414E7,null,null,57.53,133.46,null,3067026.8,null,4.1594296E7,47.28,251922.98,null,0.0,null,3879.25,null,null,1.4455689E7,null,null,2010522.5,5965.39,null,44515.41,208941.44,2603190.5,null,3995829.0,null,null,"Warragul",null,3.251713E7,null,null,null,null,null,null,null,2262445.5,5482095.5,"205011079",null,4976.77,null
1030.23,280085.06,null,1059832.9,109.09,1030.23,null,null,null,null,null,null,1.4704869E7,null,null,null,null,null,null,null,null,null,0.0,null,9631118.0,null,null,6.5707892E7,null,null,null,45010.86,958289.06,null,null,null,224680.67,null,9619.07,9113994.0,8216241.0,null,null,null,null,4029670.5,null,null,null,null,null,null,3661632.8,null,5739.15,3.6158232E7,null,null,null,null,1763440.8,null,null,4029670.5,null,224680.67,null,null,null,null,358209.3,null,null,null,null,null,null,null,38893.69,1.5166365E7,281100.97,1.4704869E7,null,null,null,"Bacchus Marsh Region",null,2.5519988E7,null,null,null,929404.3,null,null,null,224680.67,null,"201021009",null,null,175615.9
0.0,508278.4,896.87,125152.93,null,0.0,622.6,null,null,null,76606.57,731.2,6338060.0,null,null,null,null,null,null,null,null,619.39,0.0,null,1673729.9,5625130.5,26335.01,2.3031492E7,null,null,null,67805.68,1327920.5,null,0.0,null,535747.6,null,69345.25,17777.8,4272643.5,null,null,83604.23,null,1945359.0,null,null,936453.0,null,null,null,5851866.0,11642.07,null,1.0245016E7,null,null,null,null,603628.3,76606.57,null,2882431.2,null,459141.06,null,null,null,null,79515.62,null,null,null,2748.15,null,null,null,160361.2,99980.78,579765.2,null,28585.68,null,null,"Daylesford",null,9904044.0,null,null,null,339048.16,null,null,null,459141.06,null,"201021011",null,null,457107.53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,172603.73,null,null,null,null,null,null,null,null,172603.73,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,163294.95,null,null,null,null,null,null,null,null,null,9308.78,null,null,null,null,null,null,null,null,null,"Yarra - North",null,172603.73,null,null,null,null,null,null,null,172603.73,null,"206071145",null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,112254.53,null,null,null,null,null,null,null,null,null,null,null,null,null,null,112254.53,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,112254.53,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"North Geelong - Bell Park",null,112254.53,null,null,null,null,null,null,null,null,null,"203021047",null,null,null
