num_mvs_ns, num_mvs_per_dweling_2_mvs, num_mvs_per_dweling_1_mvs, sa3_code16, num_mvs_per_dweling_3_mvs, total_dwelings, sa3_name16, num_mvs_per_dweling_tot, num_mvs_per_dweling_0_mvs, num_mvs_per_dweling_4mo_mvs
516,3910,2879,"20102",1728,10591,"Creswick - Daylesford - Ballan",10079,313,1250
719,6699,5240,"20202",2603,17580,"Heathcote - Castlemaine - Kyneton",16858,671,1643
2612,26053,25145,"20302",7670,70291,"Geelong",67683,4964,3851
802,11522,8203,"20303",3256,26043,"Surf Coast - Bellarine Peninsula",25240,704,1556
1043,7221,6225,"20401",2894,20110,"Upper Goulburn Valley",19066,820,1908
1037,8900,8441,"20503",2969,24037,"Gippsland - South West",22998,1113,1573
1022,8723,15804,"20601",2040,34058,"Brunswick - Coburg",33037,5615,855
598,5907,9347,"20602",1182,20277,"Darebin - South",19688,2783,466
900,7697,10761,"20603",1983,25578,"Essendon",24681,3358,887
2125,6100,21110,"20604",902,57012,"Melbourne City",54891,26465,314
1446,10629,23002,"20605",1522,45114,"Port Phillip",43666,7942,572
359,5531,3939,"21004",2041,13641,"Sunbury",13285,497,1269
1784,18622,14100,"21005",6680,47358,"Tullamarine - Broadmeadows",45574,2350,3820
1391,22469,15395,"21101",7977,53669,"Knox",52276,2004,4430
184,3474,1645,"21102",1576,8262,"Manningham - East",8077,184,1192
1058,16184,13350,"21103",4767,39820,"Maroondah",38766,1895,2566
527,9095,7747,"21104",2283,21908,"Whitehorse - East",21379,1216,1034
1492,21141,13764,"21105",8162,51646,"Yarra Ranges",50148,1526,5554
926,12974,8544,"21201",4686,31055,"Cardinia",30131,869,3060
1282,17554,11351,"21202",6292,41836,"Casey - North",40557,1604,3762
1603,22786,12950,"21203",7617,50285,"Casey - South",48690,1250,4081
2637,20591,21153,"21204",7393,60375,"Dandenong",57741,4948,3655
1576,23401,20140,"21205",6911,59458,"Monash",57879,4358,3073
2607,20895,18771,"21301",7994,58564,"Brimbank",55962,4205,4099
973,11475,11686,"21302",2995,30862,"Hobsons Bay",29892,2285,1449
1098,9141,13277,"21303",1990,30481,"Maribyrnong",29385,4189,788
1643,20744,13224,"21304",6894,47926,"Melton - Bacchus Marsh",46284,1601,3820
1976,29300,22329,"21305",8463,68588,"Wyndham",66616,2555,3971
1869,19230,17008,"21401",5661,49687,"Frankston",47818,2941,2974
2299,23267,18914,"21402",7205,57791,"Mornington Peninsula",55495,2338,3775
903,6382,13442,"20606",1242,28314,"Stonnington - West",27410,5769,566
1300,7930,17896,"20607",1460,36553,"Yarra",35254,7549,407
1416,22792,21980,"20701",6226,59849,"Boroondara",58436,4687,2751
891,13324,9995,"20702",4116,31827,"Manningham - West",30934,1399,2105
1002,13418,13896,"20703",3380,36658,"Whitehorse - West",35657,3464,1511
893,14822,11968,"20801",3843,35037,"Bayside",34142,1814,1698
1424,10290,14422,"20902",2777,34457,"Darebin - North",33032,4257,1280
418,9268,4222,"20903",3912,21059,"Nillumbik - Kinglake",20639,381,2854
2131,28673,20290,"20904",9462,68732,"Whittlesea - Wallan",66601,2985,5194
700,8583,6542,"21001",2598,20932,"Keilor",20232,1150,1358
268,4268,2041,"21002",1813,9827,"Macedon Ranges",9551,159,1270
1512,19909,22112,"20802",4486,55064,"Glen Eira",53549,5085,1961
1334,17557,16236,"20803",4290,44224,"Kingston",42890,2839,1971
384,5614,5866,"20804",1388,15406,"Stonnington - East",15031,1479,680
1218,17650,15561,"20901",4879,44431,"Banyule",43210,2702,2415
1020,8753,10939,"21003",2355,26861,"Moreland - North",25837,2635,1146
